12, 195, 210)
51, 204, 205)
188, 32, 36)
120, 219, 223)
225, 214, 147)
175, 117, 110)
78, 214, 130)
79, 142, 81)
213, 76, 51)
170, 31, 108)
13, 194, 253)
75, 24, 218)
152, 245, 75)
183, 254, 232)
7, 10, 0)
75, 106, 176)
9, 138, 215)
244, 179, 64)
171, 195, 214)
39, 45, 241)
64, 130, 33)
83, 150, 132)
31, 242, 64)
177, 191, 49)
49, 69, 69)
32, 105, 193)
73, 64, 26)
64, 155, 82)
94, 165, 202)
43, 77, 40)
45, 30, 139)
232, 121, 163)
221, 132, 85)
188, 114, 50)
135, 33, 239)
185, 235, 78)
68, 91, 131)
255, 119, 253)
254, 215, 184)
243, 4, 125)
86, 160, 128)
170, 46, 33)
126, 164, 231)
22, 109, 149)
214, 159, 141)
94, 240, 213)
242, 66, 120)
205, 235, 214)
124, 147, 156)
53, 200, 226)
16, 232, 205)
76, 128, 231)
155, 71, 69)
116, 198, 221)
9, 199, 102)
161, 244, 119)
210, 136, 98)
122, 9, 196)
187, 12, 231)
24, 51, 134)
184, 65, 155)
86, 176, 184)
38, 81, 249)
250, 244, 210)
172, 136, 228)
207, 40, 188)
100, 231, 242)
78, 8, 239)
61, 77, 18)
153, 244, 219)
66, 86, 102)
171, 65, 200)
191, 209, 166)
22, 15, 126)
161, 93, 213)
128, 239, 236)
154, 36, 51)
99, 238, 133)
185, 3, 10)
34, 68, 32)
